longitude,latitude,gravity_reading
-106.6666562,31.91539845,359.3890381
-106.6707156,31.91579126,358.5813732
-106.7112606,31.93058207,353.6220504
-106.7068262,31.93093938,353.4309907
-106.7067586,31.93439038,353.2943066
-106.7068011,31.93829851,353.0757175
-106.7066675,31.94199283,352.9855754
-106.7066434,31.94567152,354.8966062
-106.711166,31.94596838,353.3115158
-106.7112407,31.942197,353.1924272
-106.7110813,31.93824307,353.2436007
-106.7113724,31.93448693,353.3749398
-106.7111255,31.92684871,353.5533434
-106.7112211,31.92297575,353.8976751
-106.7112232,31.91932184,354.555505
-106.7065795,31.92295714,353.9410869
-106.7066576,31.92678053,353.6086789
-106.7112232,31.91932184,354.689962
-106.7111023,31.91539706,355.1389212
-106.7111763,31.91150618,355.9074473
-106.711236,31.90788266,356.7749099
-106.7111454,31.90395347,357.4274906
-106.7066587,31.90377946,356.8375998
-106.7068378,31.90761716,356.2090764
-106.7067623,31.911452,355.4826513
-106.7067466,31.91526962,355.0983943
-106.7066921,31.91927461,354.3739816
-106.7022003,31.90389433,356.7462627
-106.702179,31.90775732,355.9018649
-106.7022522,31.91146554,355.3363498
-106.7022935,31.91556358,354.6459883
-106.7024152,31.91907991,356.4292342
-106.7022727,31.92307349,360.0832368
-106.7021268,31.93051776,353.3333631
-106.7022391,31.93441231,353.0162673
-106.7021503,31.93816402,352.991373
-106.7022659,31.94198362,352.8484504
-106.7023921,31.94572989,352.8768811
-106.6975353,31.94539223,352.6985962
-106.6979312,31.92308272,353.883517
-106.6978632,31.91908692,354.2619561
-106.7021703,31.90011823,357.4426136
-106.7022715,31.89635995,358.2885925
-106.7022341,31.89247112,359.1823978
-106.7022465,31.8886776,360.1010628
-106.7012478,31.88471941,360.6129503
-106.7066719,31.89250409,359.2635417
-106.706738,31.88859141,364.2435503
-106.7110785,31.89253731,359.7294016
-106.7113474,31.8962462,358.9485785
-106.7113183,31.9002063,358.3161171
-106.7066064,31.90007375,357.7338191
-106.7067511,31.89629669,358.4996151
-106.6976451,31.90019378,357.1884562
-106.6977272,31.89631111,358.0210173
-106.6932057,31.89248606,358.7818252
-106.6932571,31.88868035,359.6800319
-106.6931704,31.88505101,360.435137
-106.6977909,31.88488809,360.3448594
-106.6977346,31.888588,359.6260643
-106.6977366,31.89245821,358.9154193
-106.6797287,31.88096384,365.6499328
-106.6753221,31.88100393,363.26769
-106.6705409,31.88101724,363.1356913
-106.670779,31.88473935,363.4620189
-106.6753425,31.88856465,362.2408284
-106.6708856,31.88861594,362.7940313
-106.67512,31.8844809,363.29019
-106.6527767,31.88581327,366.3562118
-106.6573718,31.88575237,365.6018736
-106.6618181,31.88574733,364.8982321
-106.6662571,31.88574469,364.020942
-106.6655313,31.88130394,364.8778376
-106.6666806,31.89997013,361.7215445
-106.6670675,31.89647009,362.1993783
-106.6675697,31.89400647,362.1680095
-106.670729,31.89415985,361.8567475
-106.6709551,31.8963007,361.6183048
-106.670829,31.90005522,360.7991475
-106.6666631,31.9077711,360.500984
-106.6706691,31.903865,360.3997994
-106.670916,31.91221366,358.9747037
-106.6947268,31.91832395,354.5451811
-106.6925749,31.91607279,354.9211797
-106.6895468,31.91427906,355.572457
-106.6887499,31.91155104,356.3586573
-106.684115,31.91087163,357.22848
-106.6834737,31.94595291,354.9840016
-106.6834423,31.94210983,354.2112722
-106.6834317,31.93829398,354.4898056
-106.6830348,31.93482868,354.5125277
-106.6818448,31.93056311,354.8312949
-106.6822705,31.9268215,355.0505245
-106.6842942,31.92301194,355.0456917
-106.6836865,31.91923998,355.9339072
-106.6836653,31.9154285,356.5393952
-106.6797069,31.92307325,356.0404196
-106.675213,31.92308292,356.9067788
-106.6667507,31.92309195,358.3429289
-106.6666612,31.92688421,358.1856149
-106.6666646,31.93039448,358.0257523
-106.6667027,31.93444827,357.8502587
-106.6671869,31.93745646,357.681127
-106.6707937,31.93754327,356.7452162
