longitudeTop,latitudeTop,elevationTop,longitudeBase,latitudeBase,elevationBase
253.84216,31.663043,789.706319,253.84216,31.663043,0
253.84344,31.663987,793.577279,253.84344,31.663987,0
253.84494,31.665094,798.789359,253.84494,31.665094,0
253.84621,31.666032,803.909999,253.84621,31.666032,0
253.84728,31.666822,808.268639,253.84728,31.666822,0
253.84864,31.667825,813.267359,253.84864,31.667825,0
253.84991,31.668763,816.132479,253.84991,31.668763,0
253.85137,31.66984,814.852319,253.85137,31.66984,0
253.85266,31.670793,814.974239,253.85266,31.670793,0
253.85394,31.671737,819.180479,253.85394,31.671737,0
253.8553,31.672741,825.002159,253.8553,31.672741,0
253.85666,31.673745,830.519039,253.85666,31.673745,0
253.85797,31.674712,835.243439,253.85797,31.674712,0
253.85925,31.675657,839.510639,253.85925,31.675657,0
253.86051,31.676587,843.594959,253.86051,31.676587,0
253.86179,31.677531,847.831679,253.86179,31.677531,0
253.8631,31.678498,852.434159,253.8631,31.678498,0
253.86442,31.679473,857.310959,253.86442,31.679473,0
253.86572,31.680432,862.340159,253.86572,31.680432,0
253.86699,31.681369,867.277919,253.86699,31.681369,0
253.86825,31.682299,871.971839,253.86825,31.682299,0
253.86954,31.683252,876.391439,253.86954,31.683252,0
253.87086,31.684226,881.207279,253.87086,31.684226,0
253.87223,31.685237,887.211839,253.87223,31.685237,0
253.8733,31.686027,892.119119,253.8733,31.686027,0
253.87468,31.687045,895.746239,253.87468,31.687045,0
253.87588,31.687931,890.808479,253.87588,31.687931,0
253.87733,31.689001,895.014719,253.87733,31.689001,0
253.87837,31.689769,901.811759,253.87837,31.689769,0
253.87968,31.690736,910.864319,253.87968,31.690736,0
253.88091,31.691644,918.362399,253.88091,31.691644,0
253.8821,31.692522,924.671759,253.8821,31.692522,0
253.88334,31.693437,930.828719,253.88334,31.693437,0
253.88464,31.694397,938.082959,253.88464,31.694397,0
253.88571,31.695187,945.367679,253.88571,31.695187,0
253.88681,31.695998,953.963039,253.88681,31.695998,0
253.88808,31.696936,962.527919,253.88808,31.696936,0
253.88918,31.697748,959.571359,253.88918,31.697748,0
253.88998,31.698338,944.666639,253.88998,31.698338,0
253.89114,31.699194,946.891679,253.89114,31.699194,0
253.89234,31.70008,958.047359,253.89234,31.70008,0
253.89332,31.700803,967.709519,253.89332,31.700803,0
253.89448,31.70166,977.767919,253.89448,31.70166,0
253.89561,31.702494,986.698559,253.89561,31.702494,0
253.89674,31.703328,996.025438,253.89674,31.703328,0
253.89789,31.704177,1005.809518,253.89789,31.704177,0
253.89905,31.705033,1015.319278,253.89905,31.705033,0
253.90022,31.705896,1024.280398,253.90022,31.705896,0
253.90136,31.706738,1033.150078,253.90136,31.706738,0
253.90246,31.70755,1042.507438,253.90246,31.70755,0
253.90355,31.708354,1052.261038,253.90355,31.708354,0
253.9047,31.709203,1062.258478,253.9047,31.709203,0
253.90565,31.709904,1070.183278,253.90565,31.709904,0
253.90678,31.710738,1079.632078,253.90678,31.710738,0
253.90796,31.711609,1089.873358,253.90796,31.711609,0
253.90906,31.712421,1098.803998,253.90906,31.712421,0
253.91021,31.71327,1107.277438,253.91021,31.71327,0
253.91159,31.714288,1117.061518,253.91159,31.714288,0
253.91267,31.715086,1124.833918,253.91267,31.715086,0
253.91371,31.715853,1132.941598,253.91371,31.715853,0
253.91491,31.716739,1143.914398,253.91491,31.716739,0
253.91581,31.717403,1154.612878,253.91581,31.717403,0
253.91657,31.717964,1166.621998,253.91657,31.717964,0
253.91744,31.718606,1180.673278,253.91744,31.718606,0
253.91844,31.719344,1195.212238,253.91844,31.719344,0
253.91918,31.719891,1206.154558,253.91918,31.719891,0
253.92007,31.720547,1219.535278,253.92007,31.720547,0
253.92093,31.721182,1231.483438,253.92093,31.721182,0
253.92233,31.722216,1238.097598,253.92233,31.722216,0
253.92367,31.723205,1243.309678,253.92367,31.723205,0
253.92468,31.72395,1249.740958,253.92468,31.72395,0
253.92564,31.724659,1264.401838,253.92564,31.724659,0
253.92626,31.725116,1279.032238,253.92626,31.725116,0
253.92731,31.725891,1285.524478,253.92731,31.725891,0
253.92862,31.726858,1283.878558,253.92862,31.726858,0
253.92869,31.72691,1283.543278,253.92869,31.72691,0
253.68947,31.400999,289.56,253.68947,31.400999,0
253.6927,31.403351,296.32656,253.6927,31.403351,0
253.69592,31.405697,301.41672,253.69592,31.405697,0
253.69914,31.408042,308.18328,253.69914,31.408042,0
253.70236,31.410387,314.94984,253.70236,31.410387,0
253.70572,31.412835,321.74688,253.70572,31.412835,0
253.70894,31.41518,328.51344,253.70894,31.41518,0
253.71216,31.417526,335.279999,253.71216,31.417526,0
253.71539,31.419878,340.370159,253.71539,31.419878,0
253.71861,31.422224,347.136719,253.71861,31.422224,0
253.72183,31.424569,353.903279,253.72183,31.424569,0
253.72505,31.426914,360.669839,253.72505,31.426914,0
253.72827,31.42926,367.466879,253.72827,31.42926,0
253.7315,31.431613,374.233439,253.7315,31.431613,0
253.73472,31.433958,380.999999,253.73472,31.433958,0
253.73794,31.436303,387.766559,253.73794,31.436303,0
253.7413,31.438751,392.856719,253.7413,31.438751,0
253.74452,31.441096,399.623279,253.74452,31.441096,0
253.74774,31.443442,406.389839,253.74774,31.443442,0
253.75096,31.445787,413.186879,253.75096,31.445787,0
253.75418,31.448132,419.953439,253.75418,31.448132,0
253.75741,31.450485,426.719999,253.75741,31.450485,0
253.76063,31.45283,433.486559,253.76063,31.45283,0
253.76385,31.455176,438.576719,253.76385,31.455176,0
253.76707,31.457521,445.343279,253.76707,31.457521,0
253.7703,31.459874,452.109839,253.7703,31.459874,0
253.77338,31.462117,458.906879,253.77338,31.462117,0
253.77661,31.46447,465.673439,253.77661,31.46447,0
253.77983,31.466815,470.733119,253.77983,31.466815,0
253.78305,31.469161,477.530159,253.78305,31.469161,0
253.78627,31.471506,484.296719,253.78627,31.471506,0
253.78748,31.472388,487.679999,253.78748,31.472388,0
253.7907,31.474733,494.446559,253.7907,31.474733,0
253.79392,31.477078,499.536719,253.79392,31.477078,0
253.79715,31.479431,506.303279,253.79715,31.479431,0
253.80037,31.481776,513.069839,253.80037,31.481776,0
253.80372,31.484217,519.866879,253.80372,31.484217,0
253.80695,31.486569,526.633439,253.80695,31.486569,0
253.81017,31.488915,531.693119,253.81017,31.488915,0
253.81339,31.49126,538.490159,253.81339,31.49126,0
253.81661,31.493605,545.256719,253.81661,31.493605,0
253.81983,31.495951,552.023279,253.81983,31.495951,0
253.82306,31.498304,558.789839,253.82306,31.498304,0
